mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0.075574954,0.001202032,0.008648237,9.24E-05,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.789090041,0.784505786,0.788264957,0.787286928,0.001995203,7,4
0.109445731,0.004766979,0.009924968,1.57E-05,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.785686647,0.779098294,0.780097143,0.781627361,0.00289917,8,4
0.063982169,0.004372205,0.006773472,0.00125373,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.787319315,0.786364262,0.807592149,0.793758575,0.009789581,4,5
0.117209593,0.030334731,0.010317087,0.001756283,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.787667106,0.787690178,0.809719647,0.795025644,0.010390234,2,5
0.084486802,0.007877416,0.009966056,0.001555654,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.783721129,0.785633883,0.80563735,0.791664121,0.009911374,5,5
0.126471281,0.01018374,0.013329903,0.001940259,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.78205215,0.783615222,0.807691754,0.791119709,0.011735567,6,5
0.05572621,0.006028833,0.00486207,0.000717615,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.787336714,0.787683559,0.810925514,0.795315262,0.011039023,1,5
0.087801059,0.005917661,0.005561113,0.000745831,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.786196513,0.786561325,0.809869434,0.794209091,0.011074536,3,5
0.077284813,0.009991139,0.006704648,0.000474125,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.781932248,0.784007078,0.805109594,0.79034964,0.01047118,7,5
0.115656137,0.002118645,0.009683291,0.000621356,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.775550035,0.777032542,0.799780717,0.784121098,0.011089551,8,5
mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
0.797258377,0.090983329,0.01975441,0.00363272,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.789785811,0.796802211,0.790180937,0.79225632,0.003218476,4,1
1.40640982,0.216563247,0.013756196,0.003893351,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.790458698,0.800411366,0.793743053,0.794871039,0.004140706,2,1
1.36887145,0.197835963,0.018907865,0.008472756,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.786712431,0.796409397,0.791237774,0.791453201,0.0039617,5,1
1.507681529,0.024415995,0.021292448,0.007108794,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.782521166,0.795967174,0.788222161,0.7889035,0.005510411,6,1
1.469286442,0.061208209,0.014641523,0.003737025,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.79065803,0.801045169,0.793099217,0.794934139,0.004434589,1,1
1.525102059,0.016732039,0.006749709,0.001145045,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.786800182,0.800040701,0.792030828,0.792957237,0.005444968,3,1
