Rank,learning_rate,max_depth,n_estimators,Mean_AUC,Std_AUC
1,0.1,3,100,0.7939295727946682,0.001126854116247087
2,0.05,3,200,0.7939090059611622,0.0010102902528478508
3,0.05,3,100,0.7922772403422325,0.0010234397748853374
4,0.1,3,200,0.7921124089480998,0.0014571617510694193
5,0.05,5,100,0.7902576593874254,0.0011417151710649447
6,0.05,5,200,0.7886535897042746,0.0016308928558079634
7,0.1,5,100,0.787878799946961,0.0014022270881746419
8,0.1,5,200,0.7811112931601147,0.001973193140614717
